ilkid,firstname,lastname,year,team,team-name,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,position,salary
BeaslMi01,Michael,Beasley,2009,MIA,Miami Heat,N,78,2328,1156,123,375,498,100,80,49,131,221,1040,468,240,192,102,28,Forward,4638600
BelinMa01,Marco,Belinelli,2009,TOR,Toronto Raptors,N,66,1121,469,14,81,95,89,42,5,60,80,379,154,121,101,158,60,Guard,1547640
BellRa01,Raja,Bell,2009,GSW,Golden State Warriors,N,1,23,11,0,2,2,3,0,0,0,2,6,4,0,0,3,3,Guard,5250000
BendeJo01,Jonathan,Bender,2009,NYK,New York Knicks,N,25,292,118,15,37,52,16,2,17,28,33,100,40,26,24,39,14,Forward,825180
BibbyMi01,Mike,Bibby,2009,ATL,Atlanta Hawks,N,80,2195,730,20,164,184,310,67,3,90,157,644,268,79,68,324,126,Guard,6217616
BiedrAn01,Andris,Biedrins,2009,GSW,Golden State Warriors,N,33,763,166,63,196,259,57,20,44,32,117,137,81,25,4,0,0,Center,9000000
BilluCh01,Chauncey,Billups,2009,DEN,Denver Nuggets,N,73,2490,1427,25,203,228,409,82,9,177,153,962,402,512,466,407,157,Guard,12100000
BlairDe01,DeJuan,Blair,2009,SAS,San Antonio Spurs,N,82,1494,638,200,326,526,65,50,39,112,224,495,275,161,88,2,0,Forward,850000
BlakeSt01,Steve,Blake,2009,POR,Portland Trail Blazers,N,51,1397,388,15,103,118,203,37,2,65,84,355,143,32,24,207,78,Guard,4590000
BlatcAn01,Andray,Blatche,2009,WAS,Washington Wizards,N,81,2256,1143,158,351,509,170,85,71,182,218,999,478,234,174,44,13,Center,3000000
BoganKe01,Keith,Bogans,2009,SAS,San Antonio Spurs,N,79,1559,347,25,151,176,95,45,12,53,156,298,120,50,37,196,70,Forward,1033342
BogutAn01,Andrew,Bogut,2009,MIL,Milwaukee Bucks,N,69,2229,1095,208,493,701,127,39,175,131,222,910,473,237,149,2,0,Center,10000000
BonneMa01,Matt,Bonner,2009,SAS,San Antonio Spurs,N,65,1161,457,52,162,214,68,30,24,39,109,372,166,48,35,231,90,Center,3267000
BooneJo01,Josh,Boone,2009,NJN,New Jersey Nets,N,63,1045,253,124,191,315,29,30,48,37,111,223,117,58,19,0,0,Center,2056968
BoozeCa01,Carlos,Boozer,2009,UTA,Utah Jazz,N,78,2673,1519,181,693,874,247,84,36,212,270,1098,617,384,285,0,0,Forward,12323896
BoshCh01,Chris,Bosh,2009,TOR,Toronto Raptors,N,70,2526,1678,205,554,759,166,43,68,169,170,1158,600,590,470,22,8,Forward,15779912
BowenRy01,Ryan,Bowen,2009,OKC,Oklahoma City Thunder,N,1,8,4,1,1,2,0,1,0,0,2,1,1,2,2,0,0,Forward,209592
BoykiEa01,Earl,Boykins,2009,WAS,Washington Wizards,N,67,1117,440,17,58,75,171,24,3,69,48,403,172,89,77,60,19,Guard,1191180
BrandEl01,Elton,Brand,2009,PHI,Philadelphia 76ers,N,76,2297,996,179,282,461,109,82,80,131,232,858,412,233,172,1,0,Forward,14858472
BreweCo01,Corey,Brewer,2009,MIN,Minnesota Timberwolves,N,82,2482,1066,70,209,279,193,117,29,164,224,949,409,256,166,237,82,Forward,2916120
